19817577,Aug/12/2016 06:04,Suomy,131A - cAPS lOCK,Python 2,Accepted,62 ms,4500 KB,2016-08-12 06:04:00
23569611,Jan/06/2017 03:24,Stranger.65536,131A - cAPS lOCK,Python 3,Accepted,77 ms,4500 KB,2017-01-06 03:24:00
25164583,Mar/03/2017 10:37,DeathMode,131A - cAPS lOCK,Python 3,Accepted,62 ms,4500 KB,2017-03-03 10:37:00
26786458,May/01/2017 16:36,Abdasda,131A - cAPS lOCK,Python 2,Accepted,62 ms,4600 KB,2017-05-01 16:36:00
28371562,Jul/08/2017 17:44,jimin1224,131A - cAPS lOCK,Python 3,Accepted,62 ms,5400 KB,2017-07-08 17:44:00
29224379,Aug/05/2017 20:26,jesty25,131A - cAPS lOCK,Python 2,Accepted,62 ms,4600 KB,2017-08-05 20:26:00
29845932,Aug/28/2017 16:04,Serggor,131A - cAPS lOCK,Perl,Accepted,31 ms,0 KB,2017-08-28 16:04:00
30754912,Sep/26/2017 18:18,rahul_kadavil,131A - cAPS lOCK,Python 2,Accepted,61 ms,0 KB,2017-09-26 18:18:00
33618224,Dec/25/2017 16:39,cen,131A - cAPS lOCK,PyPy 3,Accepted,109 ms,22600 KB,2017-12-25 16:39:00
51916581,Mar/28/2019 01:32,samiksha_reddy,131A - cAPS lOCK,Python 2,Accepted,171 ms,0 KB,2019-03-28 01:32:00
58514288,Aug/10/2019 00:24,mostfa_salem,131A - cAPS lOCK,Python 3,Accepted,124 ms,0 KB,2019-08-10 00:24:00
71351207,Feb/18/2020 06:57,XeroxAuto,131A - cAPS lOCK,PyPy 3,Accepted,155 ms,0 KB,2020-02-18 06:57:00
11127751,May/17/2015 17:55,lwc,131A - cAPS lOCK,Python 2,Accepted,62 ms,0 KB,2015-05-17 17:55:00
14506858,Nov/27/2015 09:40,jungsoo0902,131A - cAPS lOCK,Python 2,Accepted,140 ms,0 KB,2015-11-27 09:40:00
